"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"288","Oshae Brissett","IND","SF,PF DTD","203","282","247.3","33.0"
"289","R.J. Hampton Jr.","ORL","PG,SG","196","283","248.3","37.7"
"290","Deni Avdija","WAS","SG,SF,PF","246","275","261.5","11.6"
"291","Davion Mitchell","SAC","SG,PG OUT","222","287","249.0","27.7"
"292","Anfernee Simons","POR","PG,SG OUT","233","286","250.7","25.0"
"293","Alex Len","SAC","PF,C DTD","234","300","265.0","25.7"
"294","Furkan Korkmaz","PHI","SG,SF DTD","235","276","253.3","17.0"
"295","George Hill","MIL","PG,SG DTD","245","289","265.8","19.9"
"296","Terence Davis II","SAC","SG,SF OUT","225","288","257.3","25.7"
"297","Gorgui Dieng","ATL","PF,C","232","299","257.3","29.7"
"298","Bryn Forbes","DEN","PG,SG","215","290","259.0","32.0"
"299","Taurean Prince","MIN","SF,PF DTD","221","291","259.0","28.9"
"300","Mike Muscala","OKC","PF,C OUT","236","302","260.0","29.8"
"301","Robin Lopez","ORL","C","240","301","260.7","28.5"
"302","Frank Kaminsky III","FA","C,PF FA","233","306","262.7","31.3"
"303","Aaron Holiday","PHO","PG,SG DTD","189","189","189.0","0.0"
"304","Sterling Brown","DAL","SG,SF","216","292","263.7","33.9"
"305","Tyus Jones","MEM","PG DTD","265","271","268.3","2.5"
"306","Kent Bazemore","LAL","SG,SF","240","296","270.7","23.2"
"307","Cam Thomas","BKN","SG DTD","250","261","255.5","5.5"
"308","Franz Wagner","ORL","SG,SF DTD","219","294","256.5","37.5"
"309","Ish Smith","WAS","PG","252","295","273.3","17.6"
"310","Josh Okogie","MIN","SG,SF","263","298","277.0","15.1"
"311","Landry Shamet","PHO","PG,SG DTD","260","297","277.3","15.2"
"312","Torrey Craig","PHO","SG,SF","247","305","276.0","29.0"
"313","Maurice Harkless","SAC","SF,PF DTD","263","308","285.3","18.4"
"314","Aaron Nesmith","BOS","SG,SF","271","285","278.0","7.0"
"315","Malik Monk","LAL","PG,SG DTD","279","309","289.0","14.1"
"316","Gabe Vincent","MIA","PG,SG DTD","258","303","280.5","22.5"
"317","Eric Paschall","UTH","PF,C","261","310","285.5","24.5"
"318","Sekou Doumbouya","FA","SF,PF FA","262","312","287.0","25.0"
"319","Kira Lewis Jr.","NOR","PG,SG OUT","265","307","286.0","21.0"
"320","D.J. Augustin","LAL","PG DTD","272","313","293.3","16.8"
"321","Kris Dunn","FA","PG,SG FA","267","314","290.5","23.5"
"322","Max Strus","MIA","SG,SF DTD","284","284","284.0","0.0"
"323","Harry Giles III","FA","PF,C FA","269","336","302.5","33.5"
"324","Rajon Rondo","CLE","PG DTD","274","316","295.0","21.0"
"325","Austin Rivers","DEN","PG,SG DTD","274","311","292.5","18.5"
"326","Bones Hyland","DEN","PG,SG","276","276","276.0","0.0"
"327","Raul Neto","WAS","PG,SG DTD","277","304","290.5","13.5"
"328","Jarrett Culver","MEM","PG,SG,SF","281","317","299.0","18.0"
"329","Rodney Hood","LAC","SG,SF","283","319","301.0","18.0"
"330","James Johnson","FA","PF,C,SF FA","284","315","299.5","15.5"
"331","Naji Marshall","NOR","SF","285","285","285.0","0.0"
"332","Marvin Williams","FA","SF,PF RET","286","335","310.5","24.5"
"333","Kevin Knox II","ATL","SF,PF","288","325","306.5","18.5"
"334","Nassir Little","POR","SF OUT","288","324","306.0","18.0"
"335","Dennis Smith Jr.","FA","PG FA","289","326","307.5","18.5"
"336","Dwayne Bacon","FA","SG,SF","290","322","306.0","16.0"
"337","Damion Lee","GSW","SG,SF DTD","291","323","307.0","16.0"
"338","Tony Snell","NOR","SG,SF","296","296","296.0","0.0"
"339","PJ Dozier","FA","PG,SG,SF FA","297","318","307.5","10.5"
"340","Abdel Nader","FA","SF,PF FA","300","300","300.0","0.0"
"341","Isaiah Jackson","IND","PF","320","320","320.0","0.0"
"342","Kai Jones","CHA","C,PF","321","321","321.0","0.0"
""
""
